gene_id	C1	C2	H1	H2
TcCLB.506853.50	4184	5955	4262	4399
TcCLB.506853.40	2000	2570	1794	1706
TcCLB.506853.30	1321	1811	1369	1249
TcCLB.506853.20	2418	3360	2365	2299
TcCLB.506853.10	7488	10062	6950	6341
TcCLB.507073.49	1302	1953	1467	1436
TcCLB.507073.40	2300	3281	2201	2140
TcCLB.507073.30	1981	2828	1917	1818
TcCLB.507073.20	368	579	386	379
TcCLB.507073.10	1261	1707	1113	997
TcCLB.508319.79	93	152	106	90
TcCLB.508319.70	1466	1912	1876	1808
TcCLB.508319.60	2079	3016	1964	1914
TcCLB.508319.40	3630	5214	4290	4258
TcCLB.508319.30	4213	5932	3894	3683
TcCLB.508319.20	1232	1694	1223	1069
TcCLB.508319.10	57	95	125	137
TcCLB.506851.30	551	814	1029	1130
TcCLB.506851.20	9281	12332	9088	8734
TcCLB.506851.10	2266	3356	2596	2524
TcCLB.510519.149	1551	2187	1718	1798
TcCLB.510519.140	391	542	401	416
TcCLB.510519.130	1122	1443	1207	1111
TcCLB.510519.120	1687	2263	1590	1412
TcCLB.510519.110	410	528	322	261
TcCLB.510519.100	987	1442	951	952
TcCLB.510519.90	610	705	485	469
TcCLB.510519.80	899	1241	889	976
TcCLB.510519.70	2463	3191	2636	2398
TcCLB.510519.60	985	1321	855	777
TcCLB.510519.50	2467	3090	1870	1697
TcCLB.510519.40	1108	1634	1263	1191
TcCLB.510519.30	1583	2167	1440	1383
TcCLB.510519.20	1369	1816	1221	1144
TcCLB.510519.14	686	785	553	505
TcCLB.510519.10	1508	1793	1168	1073
TcCLB.468005.9	1625	2356	1585	1671
TcCLB.504069.4	1240	1510	1085	984
TcCLB.504069.10	2205	2820	1960	1864
TcCLB.504069.20	20720	27107	19434	18781
TcCLB.504069.30	293	351	342	343
TcCLB.504069.34	342	437	340	349
TcCLB.504069.40	1981	2667	1719	1841
TcCLB.504069.50	2495	3363	2172	2132
TcCLB.504069.53	3621	4593	3786	3649
TcCLB.504069.56	7456	10030	9468	9370
TcCLB.504069.60	2738	3262	2488	2250
TcCLB.504069.70	4344	5761	4557	4206
TcCLB.504069.80	3028	3687	2540	2436
TcCLB.504069.90	2720	3532	2229	2118
TcCLB.504069.100	1387	1793	1411	1309
TcCLB.504069.110	461	596	461	451
TcCLB.504069.120	1984	2619	1889	1950
TcCLB.504069.140	58	80	79	71
TcCLB.504069.150	0	0	1	1
TcCLB.507563.9	2	0	1	2
TcCLB.507499.30	4	9	12	6
TcCLB.507499.50	2	1	1	4
TcCLB.507499.53	0	0	0	0
TcCLB.507499.56	0	0	0	0
TcCLB.507499.60	10	24	2	15
TcCLB.507499.90	1	0	0	0
TcCLB.507501.5	0	1	0	0
TcCLB.507501.10	1293	1864	1153	1202
TcCLB.507501.20	0	0	0	0
TcCLB.507501.25	0	0	0	0
TcCLB.507501.30	0	0	0	0
TcCLB.507503.11	0	1	0	0
TcCLB.507503.20	0	0	1	1
TcCLB.507503.70	185	282	159	137
TcCLB.508857.15	0	1	1	0
TcCLB.508857.30	99	141	104	111
TcCLB.508857.40	848	1210	1151	1260
TcCLB.508857.50	3206	4471	3655	3702
TcCLB.508857.60	1113	1443	1089	988
TcCLB.508857.70	1708	2439	1741	1647
TcCLB.508857.80	1375	1848	1258	1235
TcCLB.508857.90	1242	1833	1115	1100
TcCLB.508857.100	2167	3197	2297	2321
TcCLB.508857.110	566	793	608	613
TcCLB.508857.120	1509	2193	1483	1516
TcCLB.508857.130	850	1255	1315	1454
TcCLB.508857.140	2389	3525	2318	2134
TcCLB.508857.150	1216	1570	1197	1184
TcCLB.508857.160	1683	2390	1525	1418
TcCLB.506985.60	275	382	303	334
TcCLB.506985.50	529	803	668	685
TcCLB.506985.40	1778	2546	1636	1517
TcCLB.506985.30	2380	3269	2545	2492
TcCLB.506985.20	863	1233	937	916
TcCLB.506985.10	473	671	434	407
TcCLB.511239.10	869	1167	777	756
TcCLB.511239.20	649	833	597	528
TcCLB.511239.30	1113	1333	815	792
TcCLB.511239.40	1831	2433	2316	2387
TcCLB.511239.49	886	1148	736	688
TcCLB.511239.60	1941	2594	1992	1894
TcCLB.511239.70	1693	2540	1688	1837
TcCLB.511239.80	1377	1864	1229	1224
TcCLB.511239.90	546	700	642	607
TcCLB.511239.110	2146	2880	2239	2131
TcCLB.511239.120	628	833	664	615
TcCLB.511239.130	2348	3158	2399	2266
TcCLB.511239.140	1680	2175	1943	1876
TcCLB.511239.150	1446	1891	1361	1264
TcCLB.511239.159	184	267	167	174
TcCLB.414243.29	135	181	123	109
TcCLB.414243.20	735	913	637	595
TcCLB.414243.10	373	482	288	266
TcCLB.508859.10	992	1241	838	733
TcCLB.508859.20	1003	1401	920	963
TcCLB.508859.30	1223	1598	1065	1034
TcCLB.508859.40	1037	1428	883	813
TcCLB.508859.50	419	512	396	430
TcCLB.508859.70	772	1001	824	826
TcCLB.508859.74	4914	6632	4386	4047
TcCLB.508859.80	734	952	696	646
TcCLB.508859.90	3217	4165	2593	2351
TcCLB.508859.100	727	892	594	568
