,gene,euclidean_dist,cityblock_dist,minkowsky_dist,cosine_dist,km2_eucl,km3_eucl,km5_eucl,km10_eucl,km100_eucl,km2_city,km3_city,km5_city,km10_city,km100_city,km2_minkow,km3_minkow,km5_minkow,km10_minkow,km100_minkow,km2_cos,km3_cos,km5_cos,km10_cos,km100_cos
2919,ETFB,0.20361569657188391,0.30126784759534053,0.20361569657188391,0.05446694627132054,0,2,0,4,29,1,0,0,0,79,0,1,3,8,27,0,1,1,2,54
2920,ETFDH,0.22162752574838887,0.34456693213609957,0.22162752574838887,0.0440121844544461,0,0,0,4,96,1,2,0,0,58,0,0,3,8,71,0,1,3,2,28
2921,ETHE1,0.18573607810576848,0.27652320007906317,0.18573607810576848,0.045291163929516265,0,2,0,8,68,1,0,0,5,47,0,1,3,8,13,0,1,3,2,28
2922,ETNK1,0.08592539701945379,0.13617495956855905,0.08592539701945379,0.00980907867862868,0,2,2,1,9,1,0,3,2,0,0,1,1,6,37,0,1,3,5,65
2923,ETNK2,0.5272881734610673,0.8607122227744717,0.5272881734610673,0.319474433377114,1,1,1,2,85,0,1,4,6,76,1,2,4,1,9,1,0,2,4,33
2924,ETS1,0.02402479693382944,0.038457558944114664,0.02402479693382944,0.0003943796114669329,0,2,2,5,21,1,0,3,8,42,0,1,1,3,8,0,1,3,5,43
2925,ETS2,0.27678559985966367,0.45006760104915117,0.27678559985966367,0.08373674146379684,0,0,4,9,78,0,2,2,9,12,0,0,2,9,12,0,1,1,0,11
2926,ETV1,0.1308932840553956,0.21372141372141362,0.1308932840553956,0.02133165970945594,0,2,2,1,49,1,0,0,5,99,0,1,1,6,46,0,1,3,5,2
2927,ETV4,0.10396861779322339,0.16769165733398822,0.10396861779322339,0.015948566083409887,0,2,2,1,70,1,0,3,2,46,0,1,1,6,92,0,1,3,5,71
2928,ETV5,0.5078318011103456,0.7644964209735194,0.5078318011103456,0.29377925449517095,1,1,1,2,66,0,1,1,1,51,1,2,4,1,86,1,0,2,4,49
2929,ETV6,0.11483776387635479,0.18170281059409993,0.11483776387635479,0.013494685622627012,0,2,2,1,94,1,0,3,2,82,0,1,1,6,30,0,1,3,5,10
2930,EVC,0.18926550080510107,0.2783718045972859,0.18926550080510107,0.03545157734033422,0,2,0,4,7,1,0,0,5,47,0,1,3,8,13,0,1,3,2,9
2931,EVC2,0.28647846579288466,0.4675862876890861,0.28647846579288466,0.09197128781293751,1,0,4,9,72,0,2,2,3,95,1,0,2,9,80,0,1,1,0,32
2932,EVI1,0.09583882473860075,0.1564960990620389,0.09583882473860075,0.0075895132978018864,0,2,2,1,83,1,0,3,2,30,0,1,1,6,2,0,1,3,5,45
2933,EVI2B,0.2544629410876359,0.41501370746653765,0.2544629410876359,0.07239693357506127,0,0,4,9,60,1,2,2,9,44,0,0,2,9,31,0,1,1,0,92
2934,EVI5,0.14368418089903873,0.23459784318980084,0.14368418089903873,0.023696462136329588,0,2,0,8,87,1,0,0,5,67,0,1,3,0,83,0,1,3,5,23
2935,EVI5L,0.08122158190379777,0.12365177536520416,0.08122158190379777,0.008524561878537451,0,2,2,5,73,1,0,3,2,48,0,1,1,6,97,0,1,3,5,65
2936,EVL,0.3089156769337837,0.48758433186399286,0.3089156769337837,0.11453135724951324,1,0,4,0,20,0,2,2,3,23,1,0,2,5,21,0,2,1,7,56
2937,EVPL,0.18709247088760253,0.30312160031689817,0.18709247088760253,0.04747993936250683,0,2,0,8,68,1,0,0,0,79,0,1,3,8,13,0,1,3,2,89
